Endereço;Conteúdos;Rotina;Ativos;;;
00H;5e3000;Fetch;Ep, L?p;;;
01H;be3000;;Cp;;;
02H;263400;;C?E?, L?i, RDnWR;;;
03H;1a3000;LDA;L?m, E?i;;;
04H;2c3480;;C?E?, L?b, RDnWR, Np;;;
05H;1a3000;ADD;L?m, E?i;;;
06H;2e1400;;C?E?, L?b, RDnWR;;;
07H;3c7000;;L?a, Eu;;;
08H;1a3000;SUB;L?m, E?i;;;
09H;2e1400;;C?E?, L?b, RDnWR;;;
0AH;3cf000;;L?a, Su, Eu;;;
0BH;3f2480;OUT;Ea, L?o,  RDnWR, Np;;;
0CH;3c7880;INC;L?a, Eu, IncDec, Np;;;
0DH;3cf880;DEC;L?a, Su, Eu, IncDec, Np;;;
0EH;3a3180;JUMP; E?i, Lp, Np;;;
0FH;3e3088 ;IN;Np, In;;;
10H;1a3000;CMP;L?m, E?i;;;
11H;2e1400;;C?E?, L?b, RDnWR;;;
12H;3e3402;;RDnWR, cmp;;;
13H;1a3000;STO;L?m, E?i;;;
14H;2f3080;;C?E?, Np;;;
15H;1a3000;TX;L?m, E?i;;;
16H;2e3410;;C?E?, RDnWR, Ltx;;;
17H;3e3440 ;;RDnWR, Tx;;;
18H;3e1420;RX;L?b, RDnWR, Erx;;;
19H;3e3480;;RDnWR, Np;;;
1AH;1a3000;MUL;L?m, E?i;;;
1BH;2e1400 ;;C?E?, L?b, RDnWR;;;
1CH;3c3200;;L?a, Mul;;;
1DH;1a3004;TMP;L?m, E?i, Tm;;;
1EH;3e3480;;RDnWR, Np;;;
1FH;X;X;Não Usado;;;
